nombre_producto,precio_mxn,tipo_producto,ruta_categoria_producto,unidad_venta,nombre_en_cocina,descripcion_cliente,descripcion_cocina,archivo_imagen,destacado
Galleta Clásica (Choco y Nuez),50,assembled,Panadería,Pieza,Galleta Clásica (Choco y Nuez),"Crujiente por fuera, suave por dentro y con chocolate y nuez. La galleta que siempre se antoja.",,galleta_clasica,NO
Galleta Doble Chocolate,50,assembled,Panadería,Pieza,Galleta Doble Chocolate,"Para los verdaderos fans del chocolate. Intensa, suave y con doble dosis de felicidad.",,galleta_chocolate,NO
Galleta de Lotus,50,assembled,Panadería,Pieza,Galleta de Lotus,Galleta suave con el sabor especiado y caramelizado de Lotus. Diferente y deliciosa.,,galleta_lotus,NO
Brownie Clásico,50,assembled,Panadería,Pieza,Brownie Clásico,"Chocolate intenso, textura suave y ese centro delicioso que todo brownie debe tener.",,brownie,NO
Brownie Nutella,55,assembled,Panadería,Pieza,Brownie Nutella,Brownie chocolatoso con Nutella. Porque al brownie sí se le podía subir de nivel.,,brownie_nutella,NO
Galleta de Avena y Arándano,50,assembled,Panadería,Pieza,Galleta de Avena y Arándano,"Una opción suave, dulce y frutal. Perfecta para acompañar tu café sin pensarlo mucho.",,galleta_arandano,NO
Croissant de Pavo y Queso,75,assembled,Bocadillos,Pieza,Croissant de Pavo y Queso,"Un éxito de la casa. Hojaldrado, calientito y relleno de pavo con queso.",,croissant_pavo,NO
Baguette de Pavo y Queso,85,assembled,Bocadillos,Pieza,Baguette de Pavo y Queso,"Crujiente por fuera, suave por dentro y con el combo clásico de pavo y queso.",,baguette_pavo,NO
Sandwich de Pavo y Queso,65,assembled,Bocadillos,Pieza,Sandwich de Pavo y Queso,"Sencillo, rico y cumplidor. Ideal para un desayuno o snack rápido.",,sandwich_pavo,NO
Baguette de Serrano y Queso,95,assembled,Bocadillos,Pieza,Baguette de Serrano y Queso,"Pan crujiente, jamón serrano y queso en una combinación con mucho sabor.",,baguettte_serrano,NO
Sandwich de Jamón y Selva Negra,85,assembled,Bocadillos,Pieza,Sandwich de Jamón y Selva Negra,"Un sandwich sabroso y práctico, con jamón de selva negra y queso. Perfecto para acompañar tu bebida favorita.",,sandwich_selva_negra,NO
Agua Mineral Patrona Mía (lata) ,40,simple,Ready to Go,Pieza,Agua Mineral Patrona Mía (lata) ,"Agua mineral burbujeante y refrescante, lista para llevar.",,patrona_mia_lata,NO
Agua Mineral Patrona Mía (botella) ,40,simple,Ready to Go,Pieza,Agua Mineral Patrona Mía (botella) ,"Refrescante, ligera y con burbujas. Perfecta para acompañar cualquier antojo.",,patrona_mia_botella,NO
Agua Natural  Patrona Mía ,35,simple,Ready to Go,Pieza,Agua Natural  Patrona Mía ,"Agua natural fresca y práctica. Básica, sí, pero necesaria.",,patrona_mia_botella,NO
Kombucha de Jamaica,80,simple,Ready to Go,Pieza,Kombucha de Jamaica,"Refrescante, burbujeante y con el toque floral de la jamaica.",,kombucha_jamaica,NO
Kombucha de Limón y Jengibre,80,simple,Ready to Go,Pieza,Kombucha de Limón y Jengibre,"Cítrica, fresca y con un toque de jengibre. Ligera y con mucha personalidad.",,kambucha_limon,NO
Mudbrew Black ,80,simple,Ready to Go,Pieza,Mudbrew Black ,"Cold brew listo para beber, intenso y directo. Café frío sin complicaciones.",,mudbrew_black,NO
Mudbrew Caramel,80,simple,Ready to Go,Pieza,Mudbrew Caramel,"Cold brew listo para beber con un toque dulce de caramelo. Suave, práctico y delicioso.",,mudbrew_caramel,NO
Mudbrew Chai,80,simple,Ready to Go,Pieza,Mudbrew Chai,Cold brew con vibra especiada de chai. Una mezcla diferente para llevar.,,mudbrew_chai,NO
Mudbrew Latte,80,simple,Ready to Go,Pieza,Mudbrew Latte,"Cold brew listo para beber en versión latte. Cremoso, fresco y práctico.",,mudbrew_latte,NO
Mudbrew Matcha,80,simple,Ready to Go,Pieza,Mudbrew Matcha,"Matcha listo para beber, fresco y fácil de disfrutar donde sea.",,mudbrew_matcha,NO
Mudbrew Vainilla Latte,80,simple,Ready to Go,Pieza,Mudbrew Vainilla Latte,"Cold brew con vainilla en versión lista para beber. Dulce, cremoso y perfecto para llevar.",,mudbrew_vainilla,NO
Tukafe Tradición Molido 250gr,220,simple,Tukafe en Casa,Pieza,Tukafe Tradición Molido 250gr,"El café de la casa, el mismo que usamos en nuestras bebidas. Café de altura de Chiapas, 100% mexicano, listo para preparar en casa.",,tukafe_tradición,NO
Tukafe Tradición Grano 250gr,220,simple,Tukafe en Casa,Pieza,Tukafe Tradición Grano 250gr,"El café de la casa, el mismo que usamos en nuestras bebidas. Café de altura de Chiapas, 100% mexicano. Llévalo en grano y muélelo a tu gusto.",,tukafe_tradición,NO
Tukafe Distinción Molido 250gr,250,simple,Tukafe en Casa,Pieza,Tukafe Distinción Molido 250gr,Una selección especial de nuestro café de altura de Chiapas. Molido y listo para que disfrutes una gran taza en casa.,,tukafe_distincion,NO
Tukafe Distinción Grano 250gr,250,simple,Tukafe en Casa,Pieza,Tukafe Distinción Grano 250gr,Una selección especial de nuestro café de altura de Chiapas. Ideal para quienes disfrutan preparar café desde el grano.,,tukafe_distincion,NO
Osito Latte,,assembled,Osito Tukafe,Pieza,Osito Latte,"Nuestro latte favorito servido en el vaso de osito, el consentido y trend de nuestros clientes. Tierno, cremoso y muy instagrameable.",,osito_cafe,NO
Osito Chai,,assembled,Osito Tukafe,Pieza,Osito Chai,"Chai cremoso servido en vaso de osito. Especiado, bonito y listo para robar miradas.",,osito_chai,NO
Osito Matcha,,assembled,Osito Tukafe,Pieza,Osito Matcha,"Matcha cremoso en el vaso favorito de todos. Verde, cute y perfecto para amantes del matcha.",,osito_matcha,NO
Latte + Pan,85,compound,Combos,Pieza,Latte + Pan,El combo perfecto para empezar bien: nuestro latte estrella acompañado de un pan delicioso.,,latte_bread,NO
Latte + Croissant,95,compound,Combos,Pieza,Latte + Croissant,Latte cremoso y croissant hojaldrado. Una dupla clásica que siempre gana.,,latte_croissant,NO
Latte + Baguette,110,compound,Combos,Pieza,Latte + Baguette,Tu latte favorito con una baguette rica y llenadora. Ideal para cuando sí traes hambre.,,latte_baguette,NO
Latte + Sandwich,105,compound,Combos,Pieza,Latte + Sandwich,"Latte cremoso más sandwich. Práctico, rico y perfecto para resolver el día.",,latte_sandwich,NO
